#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"ACMON","1","160","96227328","548864","2248704","14192","C:\Program Files (x86)\ASUS\Splendid\ACMON.exe","ASUS","0.1875","1, 0, 9, 0","1, 0, 0, 0","ACMON ","ACMON","Process","6",,"False",,"1712","Microsoft.Win32.SafeHandles.SafeProcessHandle","160","5320",".","0","","System.Diagnostics.ProcessModule (ACMON.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14192","14192","2248704","2248704","185328","185328","2461696","2461696","7847936","7847936","100937728","100937728","True","BelowNormal","2248704","2248704","00:00:00.1250000","ACMON","15","True","1","System.Diagnostics.ProcessStartInfo","2016-11-17 2:34:21 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1875000","00:00:00.0625000","96227328","96227328","False",,,,"548864","548864",,
"ApplicationFrameHost","1","630","2199194906624","28315648","20434944","28952","C:\WINDOWS\system32\ApplicationFrameHost.exe","Microsoft Corporation","3.703125","10.0.14393.0 (rs1_release.160715-1616)","10.0.14393.0","Application Frame Host","Microsoft? Windows? Operating System","Process","8",,"False",,"4576","Microsoft.Win32.SafeHandles.SafeProcessHandle","630","9156",".","1312278","Inbox - Gmail ?- Mail","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","28952","28952","20434944","20434944","402360","402360","21852160","21852160","34230272","34230272","177872896","2199201128448","True","Normal","20434944","20434944","00:00:02.8593750","ApplicationFrameHost","15","True","1","System.Diagnostics.ProcessStartInfo","2016-11-17 2:41:15 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:03.7031250","00:00:00.8437500","171651072","2199194906624","False",,,,"28315648","28315648",,
"AppVShNotify","1","137","83435520","7778304","1859584","8400","C:\Program Files\Common Files\Microsoft Shared\ClickToRun\AppVShNotify.exe","Microsoft Corporation","0.03125","5.0.10346.0","5.0.10346.0","AppVShNotify","Microsoft Application Virtualization (App-V)","Process","8",,"False",,"4720","Microsoft.Win32.SafeHandles.SafeProcessHandle","137","12744",".","0","","System.Diagnostics.ProcessModule (AppVShNotify.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8400","8400","1859584","1859584","163904","163904","2048000","2048000","8007680","8007680","90574848","90574848","True","Normal","1859584","1859584","00:00:00.0156250","AppVShNotify","15","True","1","System.Diagnostics.ProcessStartInfo","2016-11-20 3:15:41 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","00:00:00.0156250","83435520","83435520","False",,,,"7778304","7778304",,
"AsLdrSrv","0","93","33964032","1736704","1232896","8208","C:\Program Files (x86)\ASUS\ATK Package\ATK Hotkey\AsLdrSrv.exe","ASUSTek Computer Inc.","0.03125","1, 0, 88, 1","1, 0, 88, 0","ASLDR Service","ATK Hotkey","Process","8",,"False",,"3460","Microsoft.Win32.SafeHandles.SafeProcessHandle","93","1088",".","0","","System.Diagnostics.ProcessModule (AsLdrSrv.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8208","8208","1232896","1232896","60264","60264","1507328","1507328","5734400","5734400","39206912","39206912","True","Normal","1232896","1232896","00:00:00","AsLdrSrv","15","True","0","System.Diagnostics.ProcessStartInfo","2016-11-17 2:32:55 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","00:00:00.0312500","33964032","33964032","False",,,,"1736704","1736704",,
"AsusTPCenter","1","192","112631808","1953792","3158016","13576","C:\Program Files (x86)\ASUS\ASUS Smart Gesture\AsTPCenter\x64\AsusTPCenter.exe","AsusTek","1.296875","1.0.0.84","1.0.0.84","ASUS Smart Gesture Center","ASUS Smart Gesture","Process","6",,"False",,"4340","Microsoft.Win32.SafeHandles.SafeProcessHandle","192","10456",".","0","","System.Diagnostics.ProcessModule (AsusTPCenter.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","13576","13576","3158016","3158016","214048","214048","3502080","3502080","13045760","13045760","116039680","116039680","True","BelowNormal","3158016","3158016","00:00:00.5625000","AsusTPCenter","15","True","1","System.Diagnostics.ProcessStartInfo","2016-11-21 8:03:55 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.2968750","00:00:00.7343750","112631808","112631808","False",,,,"1953792","1953792",,
"AsusTPHelper","1","69","61448192","782336","1232896","7464","C:\Program Files (x86)\ASUS\ASUS Smart Gesture\AsTPCenter\x64\AsusTPHelper.exe","AsusTek","0.21875","1.0.22.0","1.0.22.0","ASUS Smart Gesture Helper","ASUS Smart Gesture Helper","Process","6",,"False",,"3636","Microsoft.Win32.SafeHandles.SafeProcessHandle","69","7492",".","0","","System.Diagnostics.ProcessModule (AsusTPHelper.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","7464","7464","1232896","1232896","113248","113248","1269760","1269760","6737920","6737920","64372736","64372736","True","BelowNormal","1232896","1232896","00:00:00.1406250","AsusTPHelper","15","True","1","System.Diagnostics.ProcessStartInfo","2016-11-17 2:37:03 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2187500","00:00:00.0781250","61448192","61448192","False",,,,"782336","782336",,
"AsusTPLoader","1","211","110653440","786432","2469888","12288","C:\Program Files (x86)\ASUS\ASUS Smart Gesture\AsTPCenter\x64\AsusTPLoader.exe","AsusTek","0.515625","1.0.51.0","1.0.51.0","ASUS Smart Gesture Loader","ASUS Smart Gesture","Process","6",,"False",,"2760","Microsoft.Win32.SafeHandles.SafeProcessHandle","211","6616",".","0","","System.Diagnostics.ProcessModule (AsusTPLoader.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","12288","12288","2469888","2469888","216600","216600","2670592","2670592","12963840","12963840","119062528","119062528","True","BelowNormal","2469888","2469888","00:00:00.3750000","AsusTPLoader","15","True","1","System.Diagnostics.ProcessStartInfo","2016-11-17 2:34:41 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.5156250","00:00:00.1406250","110653440","110653440","False",,,,"786432","786432",,
"ATKOSD2","1","154","145346560","7200768","2637824","14600","C:\Program Files (x86)\ASUS\ATK Package\ATKOSD2\ATKOSD2.exe","ASUSTek Computer Inc.","0.1875","7, 0, 33, 3","7, 0, 33, 0","ATKOSD2","ATKOSD2","Process","8",,"False",,"1812","Microsoft.Win32.SafeHandles.SafeProcessHandle","154","5152",".","0","","System.Diagnostics.ProcessModule (ATKOSD2.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14600","14600","2637824","2637824","274688","274688","3072000","3072000","10252288","10252288","146272256","146272256","True","Normal","2637824","2637824","00:00:00.0468750","ATKOSD2","15","True","1","System.Diagnostics.ProcessStartInfo","2016-11-17 2:34:20 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1875000","00:00:00.1406250","145346560","145346560","False",,,,"7200768","7200768",,
"audiodg","0","688","2199114145792","29114368","30527488","17264","C:\WINDOWS\system32\AUDIODG.EXE","Microsoft Corporation","45.875","10.0.14393.0 (rs1_release.160715-1616)","10.0.14393.0","Windows Audio Device Graph Isolation ","Microsoft? Windows? Operating System","Process","8",,"False",,"4680","Microsoft.Win32.SafeHandles.SafeProcessHandle","688","3668",".","0","","System.Diagnostics.ProcessModule (AUDIODG.EXE)","35069952","33861632","System.Diagnostics.ProcessModuleCollection","17264","17264","30527488","30527488","119032","119032","36347904","36347904","35569664","35569664","95195136","2199118450688","True","Normal","30527488","30527488","00:00:03.6718750","audiodg","15","True","0","System.Diagnostics.ProcessStartInfo","2016-11-18 7:26:00 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:45.8750000","00:00:42.2031250","90890240","2199114145792","False",,,,"29114368","29114368",,
"BTDevMgr","0","152","78991360","3375104","2019328","11456","C:\Program Files (x86)\REALTEK\Realtek Bluetooth Filter ONLY\BTDevMgr.exe","","0.09375","1, 0, 56, 1","1, 0, 56, 1","Realtek Bluetooth BTDevManager Service Application","Bluetooth Software","Process","8",,"False",,"3492","Microsoft.Win32.SafeHandles.SafeProcessHandle","152","2588",".","0","","System.Diagnostics.ProcessModule (BTDevMgr.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","11456","11456","2019328","2019328","149880","149880","2854912","2854912","9310208","9310208","84389888","84389888","True","Normal","2019328","2019328","00:00:00.0625000","BTDevMgr","15","True","0","System.Diagnostics.ProcessStartInfo","2016-11-17 2:32:56 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0937500","00:00:00.0312500","78991360","78991360","False",,,,"3375104","3375104",,
